Designator,Comment,Footprint,LCSC,Assembly side,Assembly type,Assemble
R14,YAGEO RC0805JR-07100KL,805,C100049,top,SMT Assembly,Yes
D11,MDD(Microdiode Semiconductor) SMAJ15CA,DO-214AC(SMA),C110044,top,SMT Assembly,Yes
R23,YAGEO RT0805BRD0710KL,805,C110775,top,SMT Assembly,Yes
R26,YAGEO RC0805FR-073K9L,805,C114221,top,SMT Assembly,Yes
R18,YAGEO RC0805FR-0727KL,805,C114533,top,SMT Assembly,Yes
R28,YAGEO RC0805FR-075K6L,805,C114538,top,SMT Assembly,Yes
R27,YAGEO RC0805FR-076K8L,805,C114550,top,SMT Assembly,Yes
R22,YAGEO RT0805BRD07150KL,805,C136927,top,SMT Assembly,Yes
R19,YAGEO RC0805FR-074K3L,805,C137518,top,SMT Assembly,Yes
R16,YAGEO AC0805FR-070RL,805,C174076,top,SMT Assembly,Yes
R10,UNI-ROYAL 0805W8F1002T5E,805,C17414,top,SMT Assembly,Yes
R12,UNI-ROYAL 0805W8F1002T5E,805,C17414,top,SMT Assembly,Yes
R15,UNI-ROYAL 0805W8F1002T5E,805,C17414,top,SMT Assembly,Yes
R17,UNI-ROYAL 0805W8F1002T5E,805,C17414,top,SMT Assembly,Yes
R2,UNI-ROYAL 0805W8F1002T5E,805,C17414,top,SMT Assembly,Yes
R35,UNI-ROYAL 0805W8F1002T5E,805,C17414,top,SMT Assembly,Yes
R6,UNI-ROYAL 0805W8F1002T5E,805,C17414,top,SMT Assembly,Yes
R7,UNI-ROYAL 0805W8F1002T5E,805,C17414,top,SMT Assembly,Yes
R8,UNI-ROYAL 0805W8F1002T5E,805,C17414,top,SMT Assembly,Yes
R9,UNI-ROYAL 0805W8F1002T5E,805,C17414,top,SMT Assembly,Yes
C13,FH 0805B471K500NT,805,C1743,top,SMT Assembly,Yes
R31,UNI-ROYAL 0805W8F1803T5E,805,C17501,top,SMT Assembly,Yes
R32,UNI-ROYAL 0805W8F1001T5E,805,C17513,top,SMT Assembly,Yes
R24,UNI-ROYAL 0805W8F3300T5E,805,C17630,top,SMT Assembly,Yes
R5,UNI-ROYAL 0805W8F3300T5E,805,C17630,top,SMT Assembly,Yes
R33,UNI-ROYAL 0805W8F470KT5E,805,C17675,top,SMT Assembly,Yes
R34,UNI-ROYAL 0805W8F470KT5E,805,C17675,top,SMT Assembly,Yes
R13,UNI-ROYAL 0805W8F6202T5E,805,C17783,top,SMT Assembly,Yes
R11,UNI-ROYAL 0805W8F7500T5E,805,C17818,top,SMT Assembly,Yes
R21,UNI-ROYAL 0805W8F7500T5E,805,C17818,top,SMT Assembly,Yes
R4,UNI-ROYAL 0805W8F7500T5E,805,C17818,top,SMT Assembly,Yes
R25,UNI-ROYAL 0805W8F8201T5E,805,C17828,top,SMT Assembly,Yes
R30,UNI-ROYAL 0805W8F820JT5E,805,C17841,top,SMT Assembly,Yes
C15,Chinocera HGC0805R5106K500NSLJ,805,C22367830,top,SMT Assembly,Yes
D9,Littelfuse SMBJ24A,DO-214AA,C224017,top,SMT Assembly,Yes
L1,Sumida CDRH104RNP-330NC,"SMD,10.2x10mm",C225051,top,SMT Assembly,Yes
R29,UNI-ROYAL 0805W8F100KT5E,805,C25271,top,SMT Assembly,Yes
S1,OMRON B3FS-1000P,"SMD-4P,6.3x6mm",C271750,top,SMT Assembly,Yes
D10,UMW P6SMB6.8A,SMB,C2758562,top,SMT Assembly,Yes
D12,UMW P6SMB6.8A,SMB,C2758562,top,SMT Assembly,Yes
J2,WAGO 250-202,"??,P=3.5mm(???)",C2765061,top,Wave Soldering,Yes
J3,WAGO 250-202,"??,P=3.5mm(???)",C2765061,top,Wave Soldering,Yes
J4,WAGO 250-202,"??,P=3.5mm(???)",C2765061,top,Wave Soldering,Yes
R1,UNI-ROYAL 0805W8F5101T5E,805,C27834,top,SMT Assembly,Yes
R3,UNI-ROYAL 0805W8F5101T5E,805,C27834,top,SMT Assembly,Yes
C11,KNSCHA RVT100UF25V67RV0011,"SMD,D6.3xL7.7mm",C2836443,top,SMT Assembly,Yes
R36,UNI-ROYAL TC0525B1200T5G,805,C2989047,top,SMT Assembly,Yes
IC2,Taiwan Semiconductor RMB6S,MBS,C3589251,top,SMT Assembly,Yes
IC3,Taiwan Semiconductor RMB6S,MBS,C3589251,top,SMT Assembly,Yes
R20,UNI-ROYAL 0805W8F2002T5E,805,C4328,top,SMT Assembly,Yes
C9,Samsung Electro-Mechanics CL21A226MAQNNNE,805,C45783,top,SMT Assembly,Yes
J1,Global Connector Technology USB4110-GF-A,SMD,C5143397,top,SMT Assembly,Yes
C10,YAGEO CC0805KRX7R8BB104,805,C519981,top,SMT Assembly,Yes
C12,YAGEO CC0805KRX7R8BB104,805,C519981,top,SMT Assembly,Yes
C14,YAGEO CC0805KRX7R8BB104,805,C519981,top,SMT Assembly,Yes
C17,YAGEO CC0805KRX7R8BB104,805,C519981,top,SMT Assembly,Yes
C19,YAGEO CC0805KRX7R8BB104,805,C519981,top,SMT Assembly,Yes
C24,YAGEO CC0805KRX7R8BB104,805,C519981,top,SMT Assembly,Yes
C3,YAGEO CC0805KRX7R8BB104,805,C519981,top,SMT Assembly,Yes
C4,YAGEO CC0805KRX7R8BB104,805,C519981,top,SMT Assembly,Yes
C6,YAGEO CC0805KRX7R8BB104,805,C519981,top,SMT Assembly,Yes
C7,YAGEO CC0805KRX7R8BB104,805,C519981,top,SMT Assembly,Yes
U4,MAXIM MAX22088GTG+,TQFN-24(4x4),C5258925,top,SMT Assembly,Yes
D6,FUXINSEMI PMEG3005EGWXF,SOD-123,C52747980,top,SMT Assembly,Yes
U1,ESPRESSIF ESP32-C6-WROOM-1-N8,"SMD,25.5x18mm",C5366877,top,SMT Assembly,Yes
D1,"Nexperia BZA408B,115",SOT-457,C550053,top,SMT Assembly,Yes
U2,TI LM2735XMFX/NOPB,SOT-23-5,C555454,top,SMT Assembly,Yes
D3,Kingbright APT2012LZGCK,805,C5569446,top,SMT Assembly,Yes
D8,Kingbright APT2012LZGCK,805,C5569446,top,SMT Assembly,Yes
D2,Kingbright APT2012LSECK/J3-PRV,"SMD,2x1.3mm",C5879380,top,SMT Assembly,Yes
D5,Kingbright APT2012LSYCK/J3-PRV,"SMD,2x1.3mm",C5879382,top,SMT Assembly,Yes
D7,Kingbright APT2012LSYCK/J3-PRV,"SMD,2x1.3mm",C5879382,top,SMT Assembly,Yes
U3,MICROCHIP MCP1826S-3302E/DB,SOT-223-3,C638624,top,SMT Assembly,Yes
C16,FH 0805X106M250NT,805,C669099,top,SMT Assembly,Yes
C2,FH 0805X106M250NT,805,C669099,top,SMT Assembly,Yes
C20,FH 0805X106M250NT,805,C669099,top,SMT Assembly,Yes
C22,FH 0805X106M250NT,805,C669099,top,SMT Assembly,Yes
C23,FH 0805X106M250NT,805,C669099,top,SMT Assembly,Yes
C5,FH 0805X106M250NT,805,C669099,top,SMT Assembly,Yes
C8,FH 0805X106M250NT,805,C669099,top,SMT Assembly,Yes
IC1,MAXIM MAX14932AASE+,SOIC-16,C7451518,top,SMT Assembly,Yes
D4,DIODES 1N5819HW-7-F,SOD-123,C82544,top,SMT Assembly,Yes
Q1,"Nexperia BC847BS,115",TSSOP-6(SOT-363),C8653,top,SMT Assembly,Yes
C18,YAGEO CC0805KKX7R8BB105,805,C91186,top,SMT Assembly,Yes
C21,YAGEO CC0805KKX7R8BB105,805,C91186,top,SMT Assembly,Yes
C1,YAGEO CC0805KKX7R7BB105,805,C94122,top,SMT Assembly,Yes
