Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,1µF 16V,C94122
"C10, C12, C14, C17, C19, C24, C3, C4, C6, C7",0805,10,100nF 25V,C519981
C11,CP_Elec_6.3x7.7,1,100µF 25V,C2836443
C13,0805,1,470pF 50v,C1743
C15,0805,1,10uF 50V,C22367830
"C16, C2, C20, C22, C23, C5, C8",0805,7,10µF 25V,C669099
"C18, C21",0805,2,1µF 25V,C91186
C9,0805,1,22uF,C45783
D1,SOT95P275X110-6N,1,"BZA408B,115",C550053
"D10, D12",D_SMB,2,P6SMB6.8A,C2758562
D11,D_SMA,1,SMAJ15CA,C110044
D2,0805,1,Red 1.8V 2mA,C5879380
"D3, D8",0805,2,Green 1.8V 2mA,C5569446
D4,D_SOD-123,1,1N5819HW-7-F,C82544
"D5, D7",0805,2,Yellow 1.8V 2mA,C5879382
D6,D_SOD-123,1,Schottky 500mA,C52747980
D9,D_SMB,1,SMBJ24A,C224017
IC1,SOIC127P600X175-16N,1,MAX14932AASE+,C7451518
"IC2, IC3",TO-269AA,2,RMB6S,C3589251
J1,GCT_USB4110GFA,1,USB4110GFA,C5143397
"J2, J3, J4",CONN2_250-202_WAG,3,WAGO 250-202,C2765061
L1,CDRH104RNP330NC,1,33uH,C225051
Q1,SOT-363_SC-70-6,1,BC847BS,C8653
"R1, R3",0805,2,5.1k 1%,C27834
"R10, R12, R15, R17, R2, R35, R6, R7, R8, R9",0805,10,10k,C17414
"R11, R21, R4",0805,3,750R,C17818
R13,0805,1,62k,C17783
R14,0805,1,100k,C100049
R16,0805,1,0R,C174076
R18,0805,1,27k,C114533
R19,0805,1,4.3k,C137518
R20,0805,1,20k,C4328
R22,0805,1,"150k 0,1%",C136927
R23,0805,1,"10k 0,1%",C110775
"R24, R5",0805,2,330R,C17630
R25,0805,1,8.2k 1%,C17828
R26,0805,1,3.9k 1%,C114221
R27,0805,1,6.8k,C114550
R28,0805,1,5.6k,C114538
R29,0805,1,1R,C25271
R30,0805,1,82R,C17841
R31,0805,1,180k,C17501
R32,0805,1,1k,C17513
"R33, R34",0805,2,4.7R,C17675
R36,0805,1,"120R 0,1%",C2989047
S1,B3FS-1000P,1,B3FS-1000P,C271750
U1,ESP32-C6-WROOM-1,1,ESP32-C6-WROOM-1,C5366877
U2,SOT-23-5,1,LM2735X (1.6MHz),C555454
U3,SOT-223-3_TabPin2,1,MCP1826S-3302E/DB,C638624
U4,QFN50P400X400X80-25N,1,MAX22088GTG_,C5258925
