Designator,Mid X,Mid Y,Rotation,Layer
C1,67.8,-49.5375,180.0,top
C10,64.75,-117.25,180.0,top
C11,74.5,-81.0,270.0,top
C12,80.25,-64.75,0.0,top
C13,90.5,-110.7875,90.0,top
C14,64.75,-107.0,180.0,top
C15,90.5,-106.55,90.0,top
C16,69.25,-107.0,0.0,top
C17,78.25,-94.5,180.0,top
C18,80.75,-84.5,0.0,top
C19,87.5,-83.25,180.0,top
C2,67.8,-45.75,180.0,top
C20,80.75,-81.0,0.0,top
C21,87.5,-79.75,0.0,top
C22,99.75,-99.5,180.0,top
C23,99.75,-103.0,180.0,top
C24,94.0,-110.75,90.0,top
C3,68.8,-42.25,90.0,top
C4,95.25,-47.25,0.0,top
C5,68.75,-118.25,90.0,top
C6,64.75,-104.25,180.0,top
C7,71.0,-103.75,180.0,top
C8,64.75,-120.5,180.0,top
C9,85.25,-120.75,0.0,top
D1,73.0,-120.55,180.0,top
D10,88.75,-95.25,180.0,top
D11,98.25,-77.0,0.0,top
D12,88.75,-101.25,180.0,top
D2,64.5,-61.25,0.0,top
D3,63.0,-68.25,180.0,top
D4,68.75,-123.75,90.0,top
D5,63.0,-64.75,180.0,top
D6,87.0,-117.0,270.0,top
D7,72.0,-64.75,180.0,top
D8,72.0,-68.25,180.0,top
D9,85.5,-90.25,180.0,top
IC1,66.288,-96.695,0.0,top
IC2,86.75,-71.25,90.0,top
IC3,97.5,-95.5,0.0,top
J1,81.5,-125.0,0.0,top
J2,95.75,-69.000001,90.0,top
J3,95.75,-86.000001,90.0,top
J4,95.75,-118.000001,90.0,top
L1,79.05,-109.75,90.0,top
Q1,75.6625,-73.25,180.0,top
R1,73.39,-127.5,90.0,top
R10,95.25,-50.75,0.0,top
R11,67.1625,-64.75,0.0,top
R12,74.0,-101.5,180.0,top
R13,71.5,-90.0,180.0,top
R14,79.0,-117.75,90.0,top
R15,74.0,-98.0,180.0,top
R16,71.5,-86.5,180.0,top
R17,74.0,-94.5,180.0,top
R18,67.4125,-83.0,0.0,top
R19,67.4125,-86.5,0.0,top
R2,67.8,-52.7875,180.0,top
R20,67.5,-90.0,0.0,top
R21,76.25,-64.75,0.0,top
R22,87.0,-110.7875,90.0,top
R23,87.0,-106.5375,90.0,top
R24,76.25,-68.25,0.0,top
R25,84.25,-64.75,0.0,top
R26,80.25,-68.25,0.0,top
R27,80.25,-71.5,180.0,top
R28,71.0,-71.5,180.0,top
R29,87.5,-86.75,0.0,top
R3,89.5,-127.5,90.0,top
R30,79.0875,-99.0,180.0,top
R31,84.0,-82.25,90.0,top
R32,79.0,-102.5,180.0,top
R33,83.0,-99.0,0.0,top
R34,83.0,-102.5,0.0,top
R35,94.95625,-127.3375,270.0,top
R36,92.5,-127.3375,270.0,top
R4,68.75,-61.25,180.0,top
R5,67.1625,-68.25,0.0,top
R6,63.0,-71.5,180.0,top
R7,63.0,-74.75,180.0,top
R8,67.8,-56.0375,180.0,top
R9,63.0,-78.0,180.0,top
S1,99.0,-58.0,90.0,top
U1,81.5,-49.51,0.0,top
U2,82.75,-117.75,0.0,top
U3,67.5,-112.0,0.0,top
U4,77.065,-89.25,90.0,top
